epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1420.85,0.63054,0.29314,0.86625,0.35344,0.32487,0.34153,0.27291,0.69354,0.42828,0.91516,0.000576033,0.000576033,0.000576033
76,1439.33,0.62819,0.29111,0.86147,0.26972,0.60652,0.34182,0.27505,0.69724,0.47608,0.91049,0.000571534,0.000571534,0.000571534
77,1457.65,0.61637,0.28702,0.85971,0.28335,0.58988,0.36129,0.29455,0.68393,0.43184,0.90838,0.000567034,0.000567034,0.000567034
78,1476.03,0.62104,0.28975,0.86024,0.28135,0.55862,0.33765,0.27177,0.70708,0.46768,0.91924,0.000562535,0.000562535,0.000562535
79,1494.5,0.62305,0.28885,0.86431,0.33676,0.39342,0.36223,0.29796,0.70637,0.43024,0.91981,0.000558035,0.000558035,0.000558035
80,1512.65,0.61701,0.28439,0.8607,0.30284,0.5158,0.33924,0.27291,0.71398,0.46539,0.9217,0.000553536,0.000553536,0.000553536
81,1531.16,0.61452,0.2836,0.86345,0.30786,0.53644,0.34434,0.27964,0.70938,0.46647,0.91772,0.000549036,0.000549036,0.000549036
82,1549.94,0.62399,0.28726,0.86276,0.29881,0.56129,0.32859,0.26674,0.69333,0.47298,0.91023,0.000544536,0.000544536,0.000544536
83,1568.29,0.61567,0.28637,0.86057,0.27988,0.5637,0.34813,0.27999,0.69301,0.46563,0.91335,0.000540037,0.000540037,0.000540037
84,1586.71,0.61591,0.28576,0.85787,0.31545,0.56317,0.34781,0.28578,0.68419,0.4963,0.91018,0.000535537,0.000535537,0.000535537
85,1605.42,0.61775,0.28392,0.86159,0.30272,0.49174,0.33153,0.26465,0.70119,0.46621,0.91368,0.000531038,0.000531038,0.000531038
86,1623.9,0.61164,0.28073,0.85979,0.29495,0.48678,0.32223,0.2659,0.69526,0.46487,0.91192,0.000526538,0.000526538,0.000526538
87,1642.62,0.61161,0.28108,0.85685,0.34918,0.35573,0.3474,0.28368,0.68817,0.44683,0.9106,0.000522039,0.000522039,0.000522039
88,1660.84,0.60939,0.27965,0.85762,0.28893,0.46277,0.33088,0.2744,0.70547,0.46902,0.91338,0.000517539,0.000517539,0.000517539
89,1679.08,0.6161,0.28295,0.86081,0.29094,0.4843,0.33434,0.27427,0.71455,0.46691,0.92021,0.00051304,0.00051304,0.00051304
90,1697.5,0.61028,0.28084,0.85908,0.37042,0.38107,0.3661,0.2936,0.72469,0.40638,0.92794,0.00050854,0.00050854,0.00050854
91,1715.74,0.6035,0.27646,0.85894,0.46595,0.33256,0.36626,0.29656,0.7189,0.45494,0.92119,0.00050404,0.00050404,0.00050404
92,1734.1,0.60912,0.28084,0.85608,0.30039,0.50749,0.3558,0.29992,0.69518,0.43775,0.91207,0.000499541,0.000499541,0.000499541
93,1752.9,0.60787,0.28072,0.85797,0.29531,0.51624,0.35238,0.29487,0.68987,0.4689,0.9111,0.000495041,0.000495041,0.000495041
94,1771.64,0.60627,0.27829,0.85774,0.48226,0.33124,0.34862,0.27833,0.72191,0.45587,0.92339,0.000490542,0.000490542,0.000490542
95,1790.4,0.60153,0.27428,0.85579,0.45437,0.35484,0.38434,0.30981,0.70784,0.43032,0.91881,0.000486042,0.000486042,0.000486042
96,1808.93,0.59775,0.2717,0.85654,0.28984,0.49652,0.34945,0.28422,0.70022,0.45324,0.91724,0.000481543,0.000481543,0.000481543
97,1827.87,0.60703,0.27628,0.85723,0.2994,0.46303,0.33742,0.27842,0.70966,0.46312,0.92197,0.000477043,0.000477043,0.000477043
98,1846.62,0.59803,0.27285,0.85486,0.42893,0.32946,0.34203,0.28253,0.69184,0.44283,0.91327,0.000472544,0.000472544,0.000472544
99,1865.24,0.59457,0.27192,0.85728,0.28826,0.47665,0.35125,0.28941,0.7014,0.45703,0.9159,0.000468044,0.000468044,0.000468044
100,1883.72,0.6016,0.27488,0.85457,0.2973,0.49034,0.33901,0.28372,0.67472,0.46593,0.90526,0.000463545,0.000463545,0.000463545
101,1902.06,0.59615,0.27144,0.85893,0.40084,0.31572,0.34926,0.27433,0.70336,0.46448,0.91637,0.000459045,0.000459045,0.000459045
102,1920.33,0.59425,0.26884,0.85741,0.29835,0.48479,0.35452,0.28464,0.70127,0.44929,0.91542,0.000454545,0.000454545,0.000454545
103,1938.52,0.59628,0.27355,0.85698,0.39267,0.37501,0.36592,0.30055,0.69581,0.43842,0.91316,0.000450046,0.000450046,0.000450046
104,1957.28,0.59591,0.27295,0.8557,0.30633,0.43105,0.32896,0.27095,0.70366,0.48606,0.91614,0.000445546,0.000445546,0.000445546
105,1975.66,0.59318,0.27008,0.85438,0.41638,0.33707,0.3443,0.28357,0.70649,0.45203,0.91895,0.000441047,0.000441047,0.000441047
106,1994.07,0.59311,0.27143,0.85458,0.29528,0.46259,0.35064,0.27502,0.70212,0.48353,0.91634,0.000436547,0.000436547,0.000436547
107,2012.42,0.5901,0.27037,0.85342,0.29174,0.44638,0.33796,0.27636,0.71801,0.47602,0.92133,0.000432048,0.000432048,0.000432048
108,2030.88,0.5907,0.26976,0.85391,0.28785,0.55939,0.35258,0.28438,0.69471,0.43391,0.91176,0.000427548,0.000427548,0.000427548
